year,sex,age_group,population
1994,males,85+,53176
1995,females,0–4,631233
1995,females,15–24,1316567
1995,females,25–34,1413020
1995,females,35–44,1375600
1995,females,45–54,1088632
1995,females,55–64,749341
1995,females,5–14,1257412
1995,females,65–74,674533
1995,females,75–84,404310
1995,females,85+,133804
1995,males,0–4,664968
1995,males,15–24,1369557
1995,males,25–34,1416568
1995,males,35–44,1372025
1995,males,45–54,1127457
1995,males,55–64,757263
1995,males,5–14,1321960
1995,males,65–74,602914
1995,males,75–84,271125
1995,males,85+,56593
1996,females,0–4,628737
1996,females,15–24,1304118
1996,females,25–34,1424366
1996,females,35–44,1402663
1996,females,45–54,1132127
1996,females,55–64,760445
1996,females,5–14,1269336
1996,females,65–74,678410
1996,females,75–84,418339
1996,females,85+,140902
1996,males,0–4,662765
1996,males,15–24,1356330
1996,males,25–34,1424184
1996,males,35–44,1397212
1996,males,45–54,1166609
1996,males,55–64,769888
1996,males,5–14,1333748
1996,males,65–74,610538
1996,males,75–84,284047
1996,males,85+,60003
1997,females,0–4,628456
1997,females,15–24,1284766
1997,females,25–34,1434003
1997,females,35–44,1428105
1997,females,45–54,1174221
1997,females,55–64,780699
1997,females,5–14,1276595
1997,females,65–74,677327
1997,females,75–84,434051
1997,females,85+,148637
1997,males,0–4,662892
1997,males,15–24,1334606
1997,males,25–34,1429012
1997,males,35–44,1417710
1997,males,45–54,1202488
1997,males,55–64,792019
1997,males,5–14,1340448
1997,males,65–74,616210
1997,males,75–84,297196
1997,males,85+,63596
1998,females,0–4,625240
1998,females,15–24,1271227
1998,females,25–34,1434658
1998,females,35–44,1447653
1998,females,45–54,1219912
1998,females,55–64,801393
1998,females,5–14,1283762
1998,females,65–74,676309
1998,females,75–84,448364
1998,females,85+,155923
1998,males,0–4,659846
1998,males,15–24,1321114
1998,males,25–34,1425669
1998,males,35–44,1433837
1998,males,45–54,1240648
1998,males,55–64,816448
1998,males,5–14,1347673
1998,males,65–74,620289
1998,males,75–84,309770
1998,males,85+,67849
1999,females,0–4,623110
1999,females,15–24,1267471
1999,females,25–34,1434578
1999,females,35–44,1464599
1999,females,45–54,1256168
1999,females,55–64,831892
1999,females,5–14,1292582
1999,females,65–74,675393
1999,females,75–84,461197
1999,females,85+,165165
1999,males,0–4,656573
1999,males,15–24,1316095
1999,males,25–34,1422438
1999,males,35–44,1449105
1999,males,45–54,1269317
1999,males,55–64,848923
1999,males,5–14,1357787
1999,males,65–74,624622
1999,males,75–84,322876
1999,males,85+,72373
2000,females,0–4,620507
2000,females,15–24,1274151
2000,females,25–34,1435084
2000,females,35–44,1476840
2000,females,45–54,1289453
2000,females,55–64,864786
2000,females,5–14,1301288
2000,females,65–74,674414
2000,females,75–84,474730
2000,females,85+,174084
2000,males,0–4,653221
2000,males,15–24,1321489
2000,males,25–34,1420550
2000,males,35–44,1459801
2000,males,45–54,1293736
2000,males,55–64,885310
2000,males,5–14,1368326
2000,males,65–74,627592
2000,males,75–84,336402
2000,males,85+,77038
2001,females,0–4,620632
2001,females,15–24,1291417
2001,females,25–34,1434660
2001,females,35–44,1486398
2001,females,45–54,1323193
2001,females,55–64,897844
2001,females,5–14,1309054
2001,females,65–74,677139
2001,females,75–84,490463
2001,females,85+,182075
2001,males,0–4,653053
2001,males,15–24,1338698
2001,males,25–34,1416749
2001,males,35–44,1466799
2001,males,45–54,1319037
2001,males,55–64,920603
2001,males,5–14,1377494
2001,males,65–74,634822
2001,males,75–84,353204
2001,males,85+,81367
2002,females,0–4,618479
2002,females,15–24,1308817
2002,females,25–34,1433491
2002,females,35–44,1493207
2002,females,45–54,1333337
2002,females,55–64,948246
2002,females,5–14,1312965
2002,females,65–74,681781
2002,females,75–84,501476
2002,females,85+,187928
2002,males,0–4,650563
2002,males,15–24,1358777
2002,males,25–34,1421003
2002,males,35–44,1473452
2002,males,45–54,1325663
2002,males,55–64,968942
2002,males,5–14,1382599
2002,males,65–74,642824
2002,males,75–84,367036
2002,males,85+,84624
2003,females,0–4,618520
2003,females,15–24,1329982
2003,females,25–34,1434248
2003,females,35–44,1496657
2003,females,45–54,1353044
2003,females,55–64,993292
2003,females,5–14,1314670
