survival_type,period,sex,age_group,years_since_dx,subtype,survival_pct,ci_lower,ci_upper
Observed,2007–2011,males,5–14,5,follicular,NA,NA,NA
Observed,2007–2011,males,15–24,5,follicular,NA,NA,NA
Observed,2007–2011,males,25–34,5,follicular,0.967,0.873,0.9920000000000002
Observed,2007–2011,males,35–44,5,follicular,0.936,0.894,0.962
Observed,2007–2011,males,45–54,5,follicular,0.921,0.893,0.942
Observed,2007–2011,males,55–64,5,follicular,0.871,0.844,0.894
Observed,2007–2011,males,65–74,5,follicular,0.807,0.772,0.838
Observed,2007–2011,males,75–84,5,follicular,0.538,0.482,0.59
Observed,2007–2011,males,85+,5,follicular,0.297,0.179,0.424
Observed,2007–2011,persons,5–14,1,follicular,NA,NA,NA
Observed,2007–2011,persons,15–24,1,follicular,NA,NA,NA
Observed,2007–2011,persons,25–34,1,follicular,0.99,0.929,0.999
Observed,2007–2011,persons,35–44,1,follicular,0.99,0.974,0.996
Observed,2007–2011,persons,45–54,1,follicular,0.9880000000000002,0.979,0.993
Observed,2007–2011,persons,55–64,1,follicular,0.982,0.973,0.9880000000000002
Observed,2007–2011,persons,65–74,1,follicular,0.962,0.949,0.972
Observed,2007–2011,persons,75–84,1,follicular,0.872,0.846,0.893
Observed,2007–2011,persons,85+,1,follicular,0.735,0.665,0.792
Observed,2007–2011,persons,5–14,2,follicular,NA,NA,NA
Observed,2007–2011,persons,15–24,2,follicular,NA,NA,NA
Observed,2007–2011,persons,25–34,2,follicular,0.99,0.929,0.999
Observed,2007–2011,persons,35–44,2,follicular,0.975,0.955,0.9870000000000002
Observed,2007–2011,persons,45–54,2,follicular,0.969,0.956,0.979
Observed,2007–2011,persons,55–64,2,follicular,0.952,0.94,0.962
Observed,2007–2011,persons,65–74,2,follicular,0.933,0.917,0.946
Observed,2007–2011,persons,75–84,2,follicular,0.801,0.771,0.827
Observed,2007–2011,persons,85+,2,follicular,0.621,0.546,0.687
Observed,2007–2011,persons,5–14,3,follicular,NA,NA,NA
Observed,2007–2011,persons,15–24,3,follicular,NA,NA,NA
Observed,2007–2011,persons,25–34,3,follicular,0.99,0.929,0.999
Observed,2007–2011,persons,35–44,3,follicular,0.966,0.943,0.979
Observed,2007–2011,persons,45–54,3,follicular,0.952,0.936,0.964
Observed,2007–2011,persons,55–64,3,follicular,0.929,0.914,0.941
Observed,2007–2011,persons,65–74,3,follicular,0.892,0.872,0.909
Observed,2007–2011,persons,75–84,3,follicular,0.74,0.707,0.769
Observed,2007–2011,persons,85+,3,follicular,0.504,0.428,0.574
Observed,2007–2011,persons,5–14,4,follicular,NA,NA,NA
Observed,2007–2011,persons,15–24,4,follicular,NA,NA,NA
Observed,2007–2011,persons,25–34,4,follicular,0.968,0.904,0.99
Observed,2007–2011,persons,35–44,4,follicular,0.961,0.936,0.976
Observed,2007–2011,persons,45–54,4,follicular,0.937,0.92,0.951
