year,sex,age_group,population
2033,females,15–24,1857461
2033,females,25–34,1988454
2033,females,35–44,2106041
2033,females,45–54,1953969
2033,females,55–64,1717042
2033,females,5–14,1627031
2033,females,65–74,1583380
2033,females,75–84,1154051
2033,females,85+,523988
2033,males,0–4,819250
2033,males,15–24,1965635
2033,males,25–34,2073452
2033,males,35–44,2055243
2033,males,45–54,1886653
2033,males,55–64,1622436
2033,males,5–14,1712256
2033,males,65–74,1453418
2033,males,75–84,990754
2033,males,85+,387257
2034,females,0–4,781521
2034,females,15–24,1857338
2034,females,25–34,2018259
2034,females,35–44,2103255
2034,females,45–54,1995806
2034,females,55–64,1724394
2034,females,5–14,1631187
2034,females,65–74,1600324
2034,females,75–84,1183790
2034,females,85+,550767
2034,males,0–4,823708
2034,males,15–24,1965159
2034,males,25–34,2106922
2034,males,35–44,2059926
2034,males,45–54,1926699
2034,males,55–64,1627490
2034,males,5–14,1715243
2034,males,65–74,1467641
2034,males,75–84,1014720
2034,males,85+,407065
2035,females,0–4,786367
2035,females,15–24,1853588
2035,females,25–34,2045590
2035,females,35–44,2100685
2035,females,45–54,2038002
2035,females,55–64,1734015
2035,females,5–14,1637264
2035,females,65–74,1615535
2035,females,75–84,1213512
2035,females,85+,577542
2035,males,0–4,828832
2035,males,15–24,1960915
2035,males,25–34,2133979
2035,males,35–44,2067931
2035,males,45–54,1966209
2035,males,55–64,1634806
2035,males,5–14,1721541
2035,males,65–74,1481415
2035,males,75–84,1038921
2035,males,85+,426166
2036,females,0–4,791905
2036,females,15–24,1853885
2036,females,25–34,2071717
2036,females,35–44,2095985
2036,females,45–54,2073036
2036,females,55–64,1740670
2036,females,5–14,1641588
2036,females,65–74,1637114
2036,females,75–84,1246297
2036,females,85+,603014
2036,males,0–4,834681
2036,males,15–24,1960478
2036,males,25–34,2158661
2036,males,35–44,2075924
2036,males,45–54,1996815
2036,males,55–64,1641964
2036,males,5–14,1726203
2036,males,65–74,1499560
2036,males,75–84,1066657
2036,males,85+,444047
2037,females,0–4,798145
2037,females,15–24,1856680
2037,females,25–34,2102298
2037,females,35–44,2090153
2037,females,45–54,2101261
2037,females,55–64,1754296
2037,females,5–14,1642439
2037,females,65–74,1655459
2037,females,75–84,1278523
2037,females,85+,626684
2037,males,0–4,841266
2037,males,15–24,1962512
2037,males,25–34,2189580
2037,males,35–44,2081292
2037,males,45–54,2018645
2037,males,55–64,1656683
2037,males,5–14,1727852
2037,males,65–74,1514525
2037,males,75–84,1094864
2037,males,85+,460178
2038,females,0–4,805021
2038,females,15–24,1855176
2038,females,25–34,2129966
2038,females,35–44,2087368
2038,females,45–54,2122266
2038,females,55–64,1781468
2038,females,5–14,1648245
2038,females,65–74,1665731
2038,females,75–84,1308771
2038,females,85+,650321
2038,males,0–4,848525
2038,males,15–24,1959473
2038,males,25–34,2219084
2038,males,35–44,2087870
2038,males,45–54,2035000
2038,males,55–64,1683310
2038,males,5–14,1734086
2038,males,65–74,1523341
2038,males,75–84,1121384
2038,males,85+,476008
2039,females,0–4,812366
2039,females,15–24,1854927
2039,females,25–34,2151866
2039,females,35–44,2089980
2039,females,45–54,2140858
2039,females,55–64,1814499
2039,females,5–14,1654255
2039,females,65–74,1673757
2039,females,75–84,1335288
2039,females,85+,672630
2039,males,0–4,856277
2039,males,15–24,1958332
2039,males,25–34,2240271
2039,males,35–44,2099634
2039,males,45–54,2052021
2039,males,55–64,1714445
2039,males,5–14,1740513
2039,males,65–74,1530290
2039,males,75–84,1145239
2039,males,85+,490161
2040,females,0–4,819951
2040,females,15–24,1855999
2040,females,25–34,2168076
2040,females,35–44,2096788
2040,females,45–54,2156150
2040,females,55–64,1853542
2040,females,5–14,1661130
2040,females,65–74,1683061
2040,females,75–84,1354518
2040,females,85+,694970
2040,males,0–4,864282
2040,males,15–24,1957916
2040,males,25–34,2255332
2040,males,35–44,2114686
2040,males,45–54,2068978
2040,males,55–64,1750110
2040,males,5–14,1747837
2040,males,65–74,1538410
2040,males,75–84,1162663
2040,males,85+,504545
2041,females,0–4,827524
2041,females,15–24,1854516
2041,females,25–34,2180888
2041,females,35–44,2113395
2041,females,45–54,2165485
2041,females,55–64,1896206
2041,females,5–14,1669148
2041,females,65–74,1692335
2041,females,75–84,1369073
2041,females,85+,717006
2041,males,0–4,872273
2041,males,15–24,1955642
2041,males,25–34,2267148
2041,males,35–44,2138359
2041,males,45–54,2079934
2041,males,55–64,1789076
2041,males,5–14,1756355
2041,males,65–74,1547085
2041,males,75–84,1174931
2041,males,85+,519989
2042,females,0–4,834828
2042,females,15–24,1856191
2042,females,25–34,2184821
2042,females,35–44,2138714
2042,females,45–54,2170553
2042,females,55–64,1938595
2042,females,5–14,1678504
2042,females,65–74,1702168
2042,females,75–84,1381181
2042,females,85+,738991
2042,males,0–4,879982
2042,males,15–24,1956645
2042,males,25–34,2269066
2042,males,35–44,2171917
2042,males,45–54,2087706
2042,males,55–64,1829032
2042,males,5–14,1766272
2042,males,65–74,1554064
2042,males,75–84,1185577
2042,males,85+,534973
2043,females,0–4,841619
2043,females,15–24,1859802
2043,females,25–34,2184638
2043,females,35–44,2169576
2043,females,45–54,2169556
2043,females,55–64,1981832
2043,females,5–14,1689070
2043,females,65–74,1710543
2043,females,75–84,1392933
2043,females,85+,761488
2043,males,0–4,887147
2043,males,15–24,1959814
2043,males,25–34,2267924
2043,males,35–44,2208457
2043,males,45–54,2092626
2043,males,55–64,1868784
2043,males,5–14,1777456
2043,males,65–74,1559592
2043,males,75–84,1195874
2043,males,85+,550326
2044,females,0–4,847708
2044,females,15–24,1863958
2044,females,25–34,2184522
2044,females,35–44,2199283
2044,females,45–54,2166803
2044,females,55–64,2022738
2044,females,5–14,1700618
2044,females,65–74,1717657
2044,females,75–84,1407832
2044,females,85+,783974
2044,males,0–4,893571
2044,males,15–24,1962807
2044,males,25–34,2267487
2044,males,35–44,2241712
2044,males,45–54,2097307
2044,males,55–64,1907407
2044,males,5–14,1789668
2044,males,65–74,1564546
2044,males,75–84,1207994
2044,males,85+,566498
2045,females,0–4,852982
2045,females,15–24,1870030
2045,females,25–34,2180786
2045,females,35–44,2226521
2045,females,45–54,2164315
2045,females,55–64,2063985
2045,females,5–14,1713038
2045,females,65–74,1727002
2045,females,75–84,1421421
2045,females,85+,806545
2045,males,0–4,899131
2045,males,15–24,1969104
2045,males,25–34,2263299
2045,males,35–44,2268618
2045,males,45–54,2105329
2045,males,55–64,1945529
2045,males,5–14,1802795
2045,males,65–74,1571746
2045,males,75–84,1219953
2045,males,85+,582671
2046,females,0–4,857382
2046,females,15–24,1874351
2046,females,25–34,2181095
2046,females,35–44,2252552
2046,females,45–54,2159729
2046,females,55–64,2098262
2046,females,5–14,1726141
2046,females,65–74,1733988
2046,females,75–84,1441502
2046,females,85+,830611
2046,males,0–4,903769
2046,males,15–24,1973771
2046,males,25–34,2262903
2046,males,35–44,2293160
2046,males,45–54,2113343
2046,males,55–64,1975140
2046,males,5–14,1816633
2046,males,65–74,1579417
2046,males,75–84,1236577
2046,males,85+,600708
2047,females,0–4,860927
2047,females,15–24,1875208
2047,females,25–34,2183892
2047,females,35–44,2283014
2047,females,45–54,2153994
2047,females,55–64,2125880
2047,females,5–14,1739680
2047,females,65–74,1747628
2047,females,75–84,1458644
2047,females,85+,853163
2047,males,0–4,907507
2047,males,15–24,1975444
2047,males,25–34,2264967
