year,sex,age_group,cancer_group,count
1997,males,5–14,Non-Hodgkin lymphoma,28
1997,males,65–74,Hodgkin lymphoma,18
1997,males,65–74,Non-Hodgkin lymphoma,431
1997,males,75–84,Hodgkin lymphoma,8
1997,males,75–84,Non-Hodgkin lymphoma,309
1997,males,85+,Hodgkin lymphoma,3
1997,males,85+,Non-Hodgkin lymphoma,94
1998,females,15–24,Hodgkin lymphoma,36
1998,females,15–24,Non-Hodgkin lymphoma,11
1998,females,25–34,Hodgkin lymphoma,42
1998,females,25–34,Non-Hodgkin lymphoma,44
1998,females,35–44,Hodgkin lymphoma,24
1998,females,35–44,Non-Hodgkin lymphoma,93
1998,females,45–54,Hodgkin lymphoma,21
1998,females,45–54,Non-Hodgkin lymphoma,187
1998,females,55–64,Hodgkin lymphoma,14
1998,females,55–64,Non-Hodgkin lymphoma,221
1998,females,5–14,Hodgkin lymphoma,8
1998,females,5–14,Non-Hodgkin lymphoma,6
1998,females,65–74,Hodgkin lymphoma,20
1998,females,65–74,Non-Hodgkin lymphoma,346
1998,females,75–84,Hodgkin lymphoma,9
1998,females,75–84,Non-Hodgkin lymphoma,362
1998,females,85+,Hodgkin lymphoma,3
1998,females,85+,Non-Hodgkin lymphoma,117
1998,males,15–24,Hodgkin lymphoma,36
1998,males,15–24,Non-Hodgkin lymphoma,39
1998,males,25–34,Hodgkin lymphoma,57
1998,males,25–34,Non-Hodgkin lymphoma,57
1998,males,35–44,Hodgkin lymphoma,28
1998,males,35–44,Non-Hodgkin lymphoma,149
1998,males,45–54,Hodgkin lymphoma,29
1998,males,45–54,Non-Hodgkin lymphoma,228
1998,males,55–64,Hodgkin lymphoma,13
1998,males,55–64,Non-Hodgkin lymphoma,286
1998,males,5–14,Hodgkin lymphoma,19
1998,males,5–14,Non-Hodgkin lymphoma,31
1998,males,65–74,Hodgkin lymphoma,26
1998,males,65–74,Non-Hodgkin lymphoma,440
1998,males,75–84,Hodgkin lymphoma,7
1998,males,75–84,Non-Hodgkin lymphoma,320
1998,males,85+,Hodgkin lymphoma,2
1998,males,85+,Non-Hodgkin lymphoma,81
1999,females,15–24,Hodgkin lymphoma,43
1999,females,15–24,Non-Hodgkin lymphoma,17
1999,females,25–34,Hodgkin lymphoma,54
1999,females,25–34,Non-Hodgkin lymphoma,37
1999,females,35–44,Hodgkin lymphoma,27
1999,females,35–44,Non-Hodgkin lymphoma,87
1999,females,45–54,Hodgkin lymphoma,19
1999,females,45–54,Non-Hodgkin lymphoma,173
1999,females,55–64,Hodgkin lymphoma,5
1999,females,55–64,Non-Hodgkin lymphoma,259
1999,females,5–14,Hodgkin lymphoma,3
1999,females,5–14,Non-Hodgkin lymphoma,13
1999,females,65–74,Hodgkin lymphoma,14
1999,females,65–74,Non-Hodgkin lymphoma,355
1999,females,75–84,Hodgkin lymphoma,14
1999,females,75–84,Non-Hodgkin lymphoma,387
1999,females,85+,Hodgkin lymphoma,2
1999,females,85+,Non-Hodgkin lymphoma,157
1999,males,15–24,Hodgkin lymphoma,41
1999,males,15–24,Non-Hodgkin lymphoma,33
1999,males,25–34,Hodgkin lymphoma,56
1999,males,25–34,Non-Hodgkin lymphoma,52
1999,males,35–44,Hodgkin lymphoma,44
1999,males,35–44,Non-Hodgkin lymphoma,129
1999,males,45–54,Hodgkin lymphoma,25
1999,males,45–54,Non-Hodgkin lymphoma,254
1999,males,55–64,Hodgkin lymphoma,15
1999,males,55–64,Non-Hodgkin lymphoma,321
1999,males,5–14,Hodgkin lymphoma,17
1999,males,5–14,Non-Hodgkin lymphoma,22
1999,males,65–74,Hodgkin lymphoma,23
1999,males,65–74,Non-Hodgkin lymphoma,435
1999,males,75–84,Hodgkin lymphoma,13
1999,males,75–84,Non-Hodgkin lymphoma,363
1999,males,85+,Hodgkin lymphoma,4
1999,males,85+,Non-Hodgkin lymphoma,88
2000,females,15–24,Hodgkin lymphoma,49
2000,females,15–24,Non-Hodgkin lymphoma,14
2000,females,25–34,Hodgkin lymphoma,40
2000,females,25–34,Non-Hodgkin lymphoma,39
2000,females,35–44,Hodgkin lymphoma,32
2000,females,35–44,Non-Hodgkin lymphoma,96
2000,females,45–54,Hodgkin lymphoma,10
2000,females,45–54,Non-Hodgkin lymphoma,180
2000,females,55–64,Hodgkin lymphoma,12
2000,females,55–64,Non-Hodgkin lymphoma,291
2000,females,5–14,Hodgkin lymphoma,9
2000,females,5–14,Non-Hodgkin lymphoma,14
2000,females,65–74,Hodgkin lymphoma,17
2000,females,65–74,Non-Hodgkin lymphoma,355
2000,females,75–84,Hodgkin lymphoma,18
2000,females,75–84,Non-Hodgkin lymphoma,402
2000,females,85+,Hodgkin lymphoma,4
2000,females,85+,Non-Hodgkin lymphoma,166
2000,males,15–24,Hodgkin lymphoma,50
2000,males,15–24,Non-Hodgkin lymphoma,36
2000,males,25–34,Hodgkin lymphoma,50
2000,males,25–34,Non-Hodgkin lymphoma,73
2000,males,35–44,Hodgkin lymphoma,34
2000,males,35–44,Non-Hodgkin lymphoma,141
2000,males,45–54,Hodgkin lymphoma,31
2000,males,45–54,Non-Hodgkin lymphoma,260
2000,males,55–64,Hodgkin lymphoma,22
2000,males,55–64,Non-Hodgkin lymphoma,355
2000,males,5–14,Hodgkin lymphoma,16
2000,males,5–14,Non-Hodgkin lymphoma,22
2000,males,65–74,Hodgkin lymphoma,19
2000,males,65–74,Non-Hodgkin lymphoma,445
2000,males,75–84,Hodgkin lymphoma,11
2000,males,75–84,Non-Hodgkin lymphoma,385
2000,males,85+,Hodgkin lymphoma,2
2000,males,85+,Non-Hodgkin lymphoma,94
2001,females,15–24,Hodgkin lymphoma,47
2001,females,15–24,Non-Hodgkin lymphoma,23
2001,females,25–34,Hodgkin lymphoma,38
2001,females,25–34,Non-Hodgkin lymphoma,30
2001,females,35–44,Hodgkin lymphoma,29
2001,females,35–44,Non-Hodgkin lymphoma,77
2001,females,45–54,Hodgkin lymphoma,20
2001,females,45–54,Non-Hodgkin lymphoma,215
2001,females,55–64,Hodgkin lymphoma,11
2001,females,55–64,Non-Hodgkin lymphoma,267
2001,females,5–14,Hodgkin lymphoma,9
2001,females,5–14,Non-Hodgkin lymphoma,13
2001,females,65–74,Hodgkin lymphoma,12
2001,females,65–74,Non-Hodgkin lymphoma,373
2001,females,75–84,Hodgkin lymphoma,15
2001,females,75–84,Non-Hodgkin lymphoma,379
2001,females,85+,Hodgkin lymphoma,6
2001,females,85+,Non-Hodgkin lymphoma,145
2001,males,15–24,Hodgkin lymphoma,50
2001,males,15–24,Non-Hodgkin lymphoma,33
2001,males,25–34,Hodgkin lymphoma,35
2001,males,25–34,Non-Hodgkin lymphoma,66
2001,males,35–44,Hodgkin lymphoma,36
2001,males,35–44,Non-Hodgkin lymphoma,141
2001,males,45–54,Hodgkin lymphoma,27
2001,males,45–54,Non-Hodgkin lymphoma,291
2001,males,55–64,Hodgkin lymphoma,29
2001,males,55–64,Non-Hodgkin lymphoma,370
2001,males,5–14,Hodgkin lymphoma,19
2001,males,5–14,Non-Hodgkin lymphoma,25
2001,males,65–74,Hodgkin lymphoma,19
2001,males,65–74,Non-Hodgkin lymphoma,469
2001,males,75–84,Hodgkin lymphoma,7
2001,males,75–84,Non-Hodgkin lymphoma,372
2001,males,85+,Hodgkin lymphoma,1
2001,males,85+,Non-Hodgkin lymphoma,93
2002,females,15–24,Hodgkin lymphoma,53
2002,females,15–24,Non-Hodgkin lymphoma,18
2002,females,25–34,Hodgkin lymphoma,43
2002,females,25–34,Non-Hodgkin lymphoma,41
2002,females,35–44,Hodgkin lymphoma,24
2002,females,35–44,Non-Hodgkin lymphoma,100
2002,females,45–54,Hodgkin lymphoma,24
2002,females,45–54,Non-Hodgkin lymphoma,223
2002,females,55–64,Hodgkin lymphoma,16
2002,females,55–64,Non-Hodgkin lymphoma,293
2002,females,5–14,Hodgkin lymphoma,9
2002,females,5–14,Non-Hodgkin lymphoma,7
2002,females,65–74,Hodgkin lymphoma,19
2002,females,65–74,Non-Hodgkin lymphoma,400
2002,females,75–84,Hodgkin lymphoma,19
2002,females,75–84,Non-Hodgkin lymphoma,395
2002,females,85+,Hodgkin lymphoma,3
2002,females,85+,Non-Hodgkin lymphoma,148
2002,males,15–24,Hodgkin lymphoma,43
2002,males,15–24,Non-Hodgkin lymphoma,33
2002,males,25–34,Hodgkin lymphoma,59
2002,males,25–34,Non-Hodgkin lymphoma,63
2002,males,35–44,Hodgkin lymphoma,32
2002,males,35–44,Non-Hodgkin lymphoma,132
2002,males,45–54,Hodgkin lymphoma,26
2002,males,45–54,Non-Hodgkin lymphoma,275
2002,males,55–64,Hodgkin lymphoma,37
2002,males,55–64,Non-Hodgkin lymphoma,411
2002,males,5–14,Hodgkin lymphoma,16
2002,males,5–14,Non-Hodgkin lymphoma,19
2002,males,65–74,Hodgkin lymphoma,30
2002,males,65–74,Non-Hodgkin lymphoma,479
2002,males,75–84,Hodgkin lymphoma,20
2002,males,75–84,Non-Hodgkin lymphoma,421
2002,males,85+,Hodgkin lymphoma,3
2002,males,85+,Non-Hodgkin lymphoma,117
2003,females,15–24,Hodgkin lymphoma,39
2003,females,15–24,Non-Hodgkin lymphoma,23
2003,females,25–34,Hodgkin lymphoma,40
2003,females,25–34,Non-Hodgkin lymphoma,41
2003,females,35–44,Hodgkin lymphoma,28
2003,females,35–44,Non-Hodgkin lymphoma,88
2003,females,45–54,Hodgkin lymphoma,18
2003,females,45–54,Non-Hodgkin lymphoma,199
2003,females,55–64,Hodgkin lymphoma,15
2003,females,55–64,Non-Hodgkin lymphoma,288
2003,females,5–14,Hodgkin lymphoma,8
2003,females,5–14,Non-Hodgkin lymphoma,6
2003,females,65–74,Hodgkin lymphoma,20
2003,females,65–74,Non-Hodgkin lymphoma,367
2003,females,75–84,Hodgkin lymphoma,18
2003,females,75–84,Non-Hodgkin lymphoma,413
2003,females,85+,Hodgkin lymphoma,3
2003,females,85+,Non-Hodgkin lymphoma,163
2003,males,15–24,Hodgkin lymphoma,54
2003,males,15–24,Non-Hodgkin lymphoma,34
2003,males,25–34,Hodgkin lymphoma,47
2003,males,25–34,Non-Hodgkin lymphoma,73
2003,males,35–44,Hodgkin lymphoma,42
2003,males,35–44,Non-Hodgkin lymphoma,149
2003,males,45–54,Hodgkin lymphoma,22
2003,males,45–54,Non-Hodgkin lymphoma,267
2003,males,55–64,Hodgkin lymphoma,21
2003,males,55–64,Non-Hodgkin lymphoma,433
2003,males,5–14,Hodgkin lymphoma,17
2003,males,5–14,Non-Hodgkin lymphoma,29
2003,males,65–74,Hodgkin lymphoma,27
2003,males,65–74,Non-Hodgkin lymphoma,501
2003,males,75–84,Hodgkin lymphoma,19
2003,males,75–84,Non-Hodgkin lymphoma,436
2003,males,85+,Hodgkin lymphoma,2
2003,males,85+,Non-Hodgkin lymphoma,105
2004,females,15–24,Hodgkin lymphoma,49
2004,females,15–24,Non-Hodgkin lymphoma,25
2004,females,25–34,Hodgkin lymphoma,50
2004,females,25–34,Non-Hodgkin lymphoma,49
2004,females,35–44,Hodgkin lymphoma,31
2004,females,35–44,Non-Hodgkin lymphoma,85
2004,females,45–54,Hodgkin lymphoma,26
2004,females,45–54,Non-Hodgkin lymphoma,211
2004,females,55–64,Hodgkin lymphoma,23
2004,females,55–64,Non-Hodgkin lymphoma,296
2004,females,5–14,Hodgkin lymphoma,10
2004,females,5–14,Non-Hodgkin lymphoma,7
2004,females,65–74,Hodgkin lymphoma,23
2004,females,65–74,Non-Hodgkin lymphoma,372
2004,females,75–84,Hodgkin lymphoma,21
2004,females,75–84,Non-Hodgkin lymphoma,415
2004,females,85+,Hodgkin lymphoma,3
2004,females,85+,Non-Hodgkin lymphoma,164
2004,males,15–24,Hodgkin lymphoma,53
2004,males,15–24,Non-Hodgkin lymphoma,33
2004,males,25–34,Hodgkin lymphoma,36
2004,males,25–34,Non-Hodgkin lymphoma,59
2004,males,35–44,Hodgkin lymphoma,46
2004,males,35–44,Non-Hodgkin lymphoma,161
2004,males,45–54,Hodgkin lymphoma,26
2004,males,45–54,Non-Hodgkin lymphoma,268
2004,males,55–64,Hodgkin lymphoma,18
2004,males,55–64,Non-Hodgkin lymphoma,427
2004,males,5–14,Hodgkin lymphoma,15
2004,males,5–14,Non-Hodgkin lymphoma,31
2004,males,65–74,Hodgkin lymphoma,34
2004,males,65–74,Non-Hodgkin lymphoma,500
2004,males,75–84,Hodgkin lymphoma,17
2004,males,75–84,Non-Hodgkin lymphoma,496
2004,males,85+,Hodgkin lymphoma,2
2004,males,85+,Non-Hodgkin lymphoma,107
2005,females,15–24,Hodgkin lymphoma,59
2005,females,15–24,Non-Hodgkin lymphoma,21
2005,females,25–34,Hodgkin lymphoma,52
2005,females,25–34,Non-Hodgkin lymphoma,37
2005,females,35–44,Hodgkin lymphoma,40
2005,females,35–44,Non-Hodgkin lymphoma,94
2005,females,45–54,Hodgkin lymphoma,21
2005,females,45–54,Non-Hodgkin lymphoma,231
2005,females,55–64,Hodgkin lymphoma,18
2005,females,55–64,Non-Hodgkin lymphoma,331
2005,females,5–14,Hodgkin lymphoma,14
2005,females,5–14,Non-Hodgkin lymphoma,6
2005,females,65–74,Hodgkin lymphoma,21
2005,females,65–74,Non-Hodgkin lymphoma,391
2005,females,75–84,Hodgkin lymphoma,18
2005,females,75–84,Non-Hodgkin lymphoma,485
2005,females,85+,Hodgkin lymphoma,8
2005,females,85+,Non-Hodgkin lymphoma,184
2005,males,15–24,Hodgkin lymphoma,72
2005,males,15–24,Non-Hodgkin lymphoma,45
2005,males,25–34,Hodgkin lymphoma,49
2005,males,25–34,Non-Hodgkin lymphoma,59
2005,males,35–44,Hodgkin lymphoma,42
2005,males,35–44,Non-Hodgkin lymphoma,147
2005,males,45–54,Hodgkin lymphoma,37
2005,males,45–54,Non-Hodgkin lymphoma,266
2005,males,55–64,Hodgkin lymphoma,25
2005,males,55–64,Non-Hodgkin lymphoma,459
2005,males,5–14,Hodgkin lymphoma,11
2005,males,5–14,Non-Hodgkin lymphoma,22
2005,males,65–74,Hodgkin lymphoma,25
2005,males,65–74,Non-Hodgkin lymphoma,507
2005,males,75–84,Hodgkin lymphoma,19
2005,males,75–84,Non-Hodgkin lymphoma,445
2005,males,85+,Hodgkin lymphoma,4
2005,males,85+,Non-Hodgkin lymphoma,119
2006,females,15–24,Hodgkin lymphoma,66
2006,females,15–24,Non-Hodgkin lymphoma,26
2006,females,25–34,Hodgkin lymphoma,49
2006,females,25–34,Non-Hodgkin lymphoma,38
2006,females,35–44,Hodgkin lymphoma,32
2006,females,35–44,Non-Hodgkin lymphoma,97
2006,females,45–54,Hodgkin lymphoma,15
2006,females,45–54,Non-Hodgkin lymphoma,199
2006,females,55–64,Hodgkin lymphoma,26
2006,females,55–64,Non-Hodgkin lymphoma,345
2006,females,5–14,Hodgkin lymphoma,12
2006,females,5–14,Non-Hodgkin lymphoma,7
2006,females,65–74,Hodgkin lymphoma,15
2006,females,65–74,Non-Hodgkin lymphoma,384
2006,females,75–84,Hodgkin lymphoma,17
2006,females,75–84,Non-Hodgkin lymphoma,411
2006,females,85+,Hodgkin lymphoma,4
2006,females,85+,Non-Hodgkin lymphoma,174
2006,males,15–24,Hodgkin lymphoma,63
2006,males,15–24,Non-Hodgkin lymphoma,35
2006,males,25–34,Hodgkin lymphoma,50
2006,males,25–34,Non-Hodgkin lymphoma,50
2006,males,35–44,Hodgkin lymphoma,40
2006,males,35–44,Non-Hodgkin lymphoma,144
2006,males,45–54,Hodgkin lymphoma,25
2006,males,45–54,Non-Hodgkin lymphoma,295
2006,males,55–64,Hodgkin lymphoma,31
2006,males,55–64,Non-Hodgkin lymphoma,483
2006,males,5–14,Hodgkin lymphoma,20
2006,males,5–14,Non-Hodgkin lymphoma,20
2006,males,65–74,Hodgkin lymphoma,28
2006,males,65–74,Non-Hodgkin lymphoma,523
2006,males,75–84,Hodgkin lymphoma,13
2006,males,75–84,Non-Hodgkin lymphoma,481
2006,males,85+,Hodgkin lymphoma,8
2006,males,85+,Non-Hodgkin lymphoma,120
2007,females,15–24,Hodgkin lymphoma,70
2007,females,15–24,Non-Hodgkin lymphoma,16
2007,females,25–34,Hodgkin lymphoma,53
2007,females,25–34,Non-Hodgkin lymphoma,26
2007,females,35–44,Hodgkin lymphoma,23
2007,females,35–44,Non-Hodgkin lymphoma,98
2007,females,45–54,Hodgkin lymphoma,24
2007,females,45–54,Non-Hodgkin lymphoma,206
2007,females,55–64,Hodgkin lymphoma,26
2007,females,55–64,Non-Hodgkin lymphoma,379
2007,females,5–14,Hodgkin lymphoma,10
2007,females,5–14,Non-Hodgkin lymphoma,13
2007,females,65–74,Hodgkin lymphoma,23
2007,females,65–74,Non-Hodgkin lymphoma,380
2007,females,75–84,Hodgkin lymphoma,19
2007,females,75–84,Non-Hodgkin lymphoma,455
2007,females,85+,Hodgkin lymphoma,4
2007,females,85+,Non-Hodgkin lymphoma,202
2007,males,15–24,Hodgkin lymphoma,54
2007,males,15–24,Non-Hodgkin lymphoma,32
2007,males,25–34,Hodgkin lymphoma,59
2007,males,25–34,Non-Hodgkin lymphoma,53
2007,males,35–44,Hodgkin lymphoma,40
2007,males,35–44,Non-Hodgkin lymphoma,123
2007,males,45–54,Hodgkin lymphoma,46
2007,males,45–54,Non-Hodgkin lymphoma,275
2007,males,55–64,Hodgkin lymphoma,33
2007,males,55–64,Non-Hodgkin lymphoma,477
2007,males,5–14,Hodgkin lymphoma,15
2007,males,5–14,Non-Hodgkin lymphoma,26
2007,males,65–74,Hodgkin lymphoma,27
2007,males,65–74,Non-Hodgkin lymphoma,542
2007,males,75–84,Hodgkin lymphoma,12
2007,males,75–84,Non-Hodgkin lymphoma,524
2007,males,85+,Hodgkin lymphoma,5
2007,males,85+,Non-Hodgkin lymphoma,125
2008,females,15–24,Hodgkin lymphoma,57
2008,females,15–24,Non-Hodgkin lymphoma,15
2008,females,25–34,Hodgkin lymphoma,57
2008,females,25–34,Non-Hodgkin lymphoma,33
2008,females,35–44,Hodgkin lymphoma,19
2008,females,35–44,Non-Hodgkin lymphoma,102
2008,females,45–54,Hodgkin lymphoma,17
2008,females,45–54,Non-Hodgkin lymphoma,212
2008,females,55–64,Hodgkin lymphoma,26
2008,females,55–64,Non-Hodgkin lymphoma,346
2008,females,5–14,Hodgkin lymphoma,9
2008,females,5–14,Non-Hodgkin lymphoma,13
2008,females,65–74,Hodgkin lymphoma,14
2008,females,65–74,Non-Hodgkin lymphoma,427
2008,females,75–84,Hodgkin lymphoma,16
2008,females,75–84,Non-Hodgkin lymphoma,486
2008,females,85+,Hodgkin lymphoma,3
2008,females,85+,Non-Hodgkin lymphoma,180
2008,males,15–24,Hodgkin lymphoma,62
2008,males,15–24,Non-Hodgkin lymphoma,29
2008,males,25–34,Hodgkin lymphoma,46
2008,males,25–34,Non-Hodgkin lymphoma,73
2008,males,35–44,Hodgkin lymphoma,42
2008,males,35–44,Non-Hodgkin lymphoma,124
2008,males,45–54,Hodgkin lymphoma,44
2008,males,45–54,Non-Hodgkin lymphoma,312
2008,males,55–64,Hodgkin lymphoma,42
2008,males,55–64,Non-Hodgkin lymphoma,511
2008,males,5–14,Hodgkin lymphoma,8
2008,males,5–14,Non-Hodgkin lymphoma,25
2008,males,65–74,Hodgkin lymphoma,40
2008,males,65–74,Non-Hodgkin lymphoma,530
2008,males,75–84,Hodgkin lymphoma,14
2008,males,75–84,Non-Hodgkin lymphoma,492
2008,males,85+,Hodgkin lymphoma,7
2008,males,85+,Non-Hodgkin lymphoma,135
2009,females,15–24,Hodgkin lymphoma,58
2009,females,15–24,Non-Hodgkin lymphoma,26
2009,females,25–34,Hodgkin lymphoma,69
2009,females,25–34,Non-Hodgkin lymphoma,42
2009,females,35–44,Hodgkin lymphoma,30
2009,females,35–44,Non-Hodgkin lymphoma,120
2009,females,45–54,Hodgkin lymphoma,26
2009,females,45–54,Non-Hodgkin lymphoma,219
2009,females,55–64,Hodgkin lymphoma,23
2009,females,55–64,Non-Hodgkin lymphoma,377
2009,females,5–14,Hodgkin lymphoma,10
2009,females,5–14,Non-Hodgkin lymphoma,8
2009,females,65–74,Hodgkin lymphoma,24
2009,females,65–74,Non-Hodgkin lymphoma,415
2009,females,75–84,Hodgkin lymphoma,16
2009,females,75–84,Non-Hodgkin lymphoma,456
2009,females,85+,Hodgkin lymphoma,6
2009,females,85+,Non-Hodgkin lymphoma,205
2009,males,15–24,Hodgkin lymphoma,67
2009,males,15–24,Non-Hodgkin lymphoma,36
2009,males,25–34,Hodgkin lymphoma,61
2009,males,25–34,Non-Hodgkin lymphoma,80
2009,males,35–44,Hodgkin lymphoma,42
2009,males,35–44,Non-Hodgkin lymphoma,130
2009,males,45–54,Hodgkin lymphoma,29
2009,males,45–54,Non-Hodgkin lymphoma,282
2009,males,55–64,Hodgkin lymphoma,35
2009,males,55–64,Non-Hodgkin lymphoma,524
2009,males,5–14,Hodgkin lymphoma,15
2009,males,5–14,Non-Hodgkin lymphoma,29
2009,males,65–74,Hodgkin lymphoma,24
2009,males,65–74,Non-Hodgkin lymphoma,582
2009,males,75–84,Hodgkin lymphoma,19
2009,males,75–84,Non-Hodgkin lymphoma,524
2009,males,85+,Hodgkin lymphoma,4
2009,males,85+,Non-Hodgkin lymphoma,196
2010,females,15–24,Hodgkin lymphoma,60
2010,females,15–24,Non-Hodgkin lymphoma,23
2010,females,25–34,Hodgkin lymphoma,64
2010,females,25–34,Non-Hodgkin lymphoma,47
2010,females,35–44,Hodgkin lymphoma,34
2010,females,35–44,Non-Hodgkin lymphoma,100
2010,females,45–54,Hodgkin lymphoma,33
2010,females,45–54,Non-Hodgkin lymphoma,217
2010,females,55–64,Hodgkin lymphoma,16
2010,females,55–64,Non-Hodgkin lymphoma,393
2010,females,5–14,Hodgkin lymphoma,11
2010,females,5–14,Non-Hodgkin lymphoma,13
2010,females,65–74,Hodgkin lymphoma,26
2010,females,65–74,Non-Hodgkin lymphoma,467
2010,females,75–84,Hodgkin lymphoma,16
2010,females,75–84,Non-Hodgkin lymphoma,422
2010,females,85+,Hodgkin lymphoma,6
2010,females,85+,Non-Hodgkin lymphoma,206
2010,males,15–24,Hodgkin lymphoma,59
2010,males,15–24,Non-Hodgkin lymphoma,29
2010,males,25–34,Hodgkin lymphoma,45
2010,males,25–34,Non-Hodgkin lymphoma,63
2010,males,35–44,Hodgkin lymphoma,56
2010,males,35–44,Non-Hodgkin lymphoma,141
2010,males,45–54,Hodgkin lymphoma,45
2010,males,45–54,Non-Hodgkin lymphoma,309
2010,males,55–64,Hodgkin lymphoma,41
2010,males,55–64,Non-Hodgkin lymphoma,600
2010,males,5–14,Hodgkin lymphoma,12
2010,males,5–14,Non-Hodgkin lymphoma,20
2010,males,65–74,Hodgkin lymphoma,35
2010,males,65–74,Non-Hodgkin lymphoma,647
2010,males,75–84,Hodgkin lymphoma,29
2010,males,75–84,Non-Hodgkin lymphoma,505
2010,males,85+,Hodgkin lymphoma,5
2010,males,85+,Non-Hodgkin lymphoma,164
2011,females,15–24,Hodgkin lymphoma,76
2011,females,15–24,Non-Hodgkin lymphoma,18
2011,females,25–34,Hodgkin lymphoma,52
2011,females,25–34,Non-Hodgkin lymphoma,36
2011,females,35–44,Hodgkin lymphoma,42
2011,females,35–44,Non-Hodgkin lymphoma,98
2011,females,45–54,Hodgkin lymphoma,23
2011,females,45–54,Non-Hodgkin lymphoma,221
2011,females,55–64,Hodgkin lymphoma,28
2011,females,55–64,Non-Hodgkin lymphoma,436
2011,females,5–14,Hodgkin lymphoma,9
2011,females,5–14,Non-Hodgkin lymphoma,8
2011,females,65–74,Hodgkin lymphoma,21
2011,females,65–74,Non-Hodgkin lymphoma,438
2011,females,75–84,Hodgkin lymphoma,21
2011,females,75–84,Non-Hodgkin lymphoma,462
2011,females,85+,Hodgkin lymphoma,9
2011,females,85+,Non-Hodgkin lymphoma,212
2011,males,15–24,Hodgkin lymphoma,58
2011,males,15–24,Non-Hodgkin lymphoma,27
2011,males,25–34,Hodgkin lymphoma,65
2011,males,25–34,Non-Hodgkin lymphoma,61
2011,males,35–44,Hodgkin lymphoma,44
2011,males,35–44,Non-Hodgkin lymphoma,145
2011,males,45–54,Hodgkin lymphoma,47
2011,males,45–54,Non-Hodgkin lymphoma,327
2011,males,55–64,Hodgkin lymphoma,39
2011,males,55–64,Non-Hodgkin lymphoma,598
2011,males,5–14,Hodgkin lymphoma,19
2011,males,5–14,Non-Hodgkin lymphoma,30
2011,males,65–74,Hodgkin lymphoma,44
2011,males,65–74,Non-Hodgkin lymphoma,655
2011,males,75–84,Hodgkin lymphoma,20
2011,males,75–84,Non-Hodgkin lymphoma,597
2011,males,85+,Hodgkin lymphoma,4
2011,males,85+,Non-Hodgkin lymphoma,168
2012,females,15–24,Hodgkin lymphoma,68
2012,females,15–24,Non-Hodgkin lymphoma,21
2012,females,25–34,Hodgkin lymphoma,52
2012,females,25–34,Non-Hodgkin lymphoma,45
2012,females,35–44,Hodgkin lymphoma,35
2012,females,35–44,Non-Hodgkin lymphoma,105
2012,females,45–54,Hodgkin lymphoma,29
2012,females,45–54,Non-Hodgkin lymphoma,264
2012,females,55–64,Hodgkin lymphoma,25
2012,females,55–64,Non-Hodgkin lymphoma,404
2012,females,5–14,Hodgkin lymphoma,5
2012,females,5–14,Non-Hodgkin lymphoma,9
2012,females,65–74,Hodgkin lymphoma,25
2012,females,65–74,Non-Hodgkin lymphoma,478
2012,females,75–84,Hodgkin lymphoma,15
2012,females,75–84,Non-Hodgkin lymphoma,500
2012,females,85+,Hodgkin lymphoma,6
2012,females,85+,Non-Hodgkin lymphoma,225
2012,males,15–24,Hodgkin lymphoma,70
2012,males,15–24,Non-Hodgkin lymphoma,36
2012,males,25–34,Hodgkin lymphoma,72
2012,males,25–34,Non-Hodgkin lymphoma,65
2012,males,35–44,Hodgkin lymphoma,46
2012,males,35–44,Non-Hodgkin lymphoma,158
2012,males,45–54,Hodgkin lymphoma,49
2012,males,45–54,Non-Hodgkin lymphoma,312
2012,males,55–64,Hodgkin lymphoma,41
2012,males,55–64,Non-Hodgkin lymphoma,599
2012,males,5–14,Hodgkin lymphoma,21
2012,males,5–14,Non-Hodgkin lymphoma,30
2012,males,65–74,Hodgkin lymphoma,51
2012,males,65–74,Non-Hodgkin lymphoma,757
2012,males,75–84,Hodgkin lymphoma,32
2012,males,75–84,Non-Hodgkin lymphoma,588
2012,males,85+,Hodgkin lymphoma,7
2012,males,85+,Non-Hodgkin lymphoma,205
2013,females,15–24,Hodgkin lymphoma,77
2013,females,15–24,Non-Hodgkin lymphoma,13
2013,females,25–34,Hodgkin lymphoma,57
2013,females,25–34,Non-Hodgkin lymphoma,46
2013,females,35–44,Hodgkin lymphoma,45
2013,females,35–44,Non-Hodgkin lymphoma,108
2013,females,45–54,Hodgkin lymphoma,42
2013,females,45–54,Non-Hodgkin lymphoma,246
2013,females,55–64,Hodgkin lymphoma,25
2013,females,55–64,Non-Hodgkin lymphoma,385
2013,females,5–14,Hodgkin lymphoma,6
2013,females,5–14,Non-Hodgkin lymphoma,13
2013,females,65–74,Hodgkin lymphoma,23
2013,females,65–74,Non-Hodgkin lymphoma,523
2013,females,75–84,Hodgkin lymphoma,20
2013,females,75–84,Non-Hodgkin lymphoma,483
2013,females,85+,Hodgkin lymphoma,10
2013,females,85+,Non-Hodgkin lymphoma,240
2013,males,15–24,Hodgkin lymphoma,64
2013,males,15–24,Non-Hodgkin lymphoma,32
2013,males,25–34,Hodgkin lymphoma,59
2013,males,25–34,Non-Hodgkin lymphoma,71
2013,males,35–44,Hodgkin lymphoma,37
2013,males,35–44,Non-Hodgkin lymphoma,147
2013,males,45–54,Hodgkin lymphoma,36
2013,males,45–54,Non-Hodgkin lymphoma,297
