"measure","diagnosis_code","diagnosis","series_group","sex","duration_years","year","period","estimate","lower","upper","unit","source_output"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1982,"Historical",1751,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1983,"Historical",1772,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1984,"Historical",1900,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1985,"Historical",1956,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1986,"Historical",2050,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1987,"Historical",2298,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1988,"Historical",2303,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1989,"Historical",2443,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1990,"Historical",2604,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1991,"Historical",2719,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1992,"Historical",2947,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1993,"Historical",2979,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1994,"Historical",3041,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1995,"Historical",3143,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1996,"Historical",3351,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1997,"Historical",3420,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1998,"Historical",3412,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1999,"Historical",3601,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2000,"Historical",3794,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2001,"Historical",3792,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2002,"Historical",4051,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2003,"Historical",4055,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2004,"Historical",4189,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2005,"Historical",4384,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2006,"Historical",4346,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2007,"Historical",4495,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2008,"Historical",4568,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2009,"Historical",4809,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2010,"Historical",4959,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2011,"Historical",5158,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2012,"Historical",5450,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2013,"Historical",5482,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2014,"Historical",5793,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2015,"Historical",5759,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2016,"Historical",6022,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2017,"Historical",6326,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2018,"Historical",6331,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2019,"Historical",6533,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2020,"Historical",6982,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2021,"Historical",6735,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2022,"Projected",7057.32611388399,6950.49775460553,7170.96579054918,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2023,"Projected",7292.52087372716,7187.71939207237,7406.32116012879,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2024,"Projected",7518.04812628189,7411.40234725717,7634.28764883918,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2025,"Projected",7745.65590910468,7639.50598605526,7863.48224497324,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2026,"Projected",7980.66450754717,7874.18518090876,8100.35823604328,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2027,"Projected",8210.90673549656,8100.51645148223,8332.4336381175,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2028,"Projected",8435.40718440968,8319.12023465256,8561.28272084084,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2029,"Projected",8650.23681931935,8533.58457669554,8781.7378730049,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2030,"Projected",8857.45118976526,8733.43682178334,8995.31834557608,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2031,"Projected",9056.94661898888,8927.65062084486,9200.15670763086,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2032,"Projected",9250.90198140479,9114.88737973984,9404.63282961526,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2033,"Projected",9439.83796987932,9297.2279402646,9603.19344518346,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2034,"Projected",9627.9529151856,9477.78250751489,9800.33089467292,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2035,"Projected",9812.19458161676,9651.72022339884,9995.46198067846,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2036,"Projected",10004.4712183718,9829.52115645841,10192.1053797627,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2037,"Projected",10186.4451978732,10002.9071443738,10382.5765297172,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2038,"Projected",10356.9379817043,10166.5636855659,10564.0005177958,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2039,"Projected",10513.3953523483,10310.3488447733,10731.0745589282,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2040,"Projected",10652.4393547593,10441.1070790027,10883.5092529936,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2041,"Projected",10780.6369142409,10563.2472729799,11021.5977487493,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2042,"Projected",10898.1463336985,10674.3816833592,11149.7848811026,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2043,"Projected",11010.7456927237,10774.6776086598,11275.3454643212,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2044,"Projected",11125.7304214646,10877.0998900206,11404.3463923382,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2045,"Projected",11239.5233831041,10980.2049691816,11529.6294250058,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1982,"Historical",813,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1983,"Historical",817,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1984,"Historical",880,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1985,"Historical",871,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1986,"Historical",923,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1987,"Historical",1041,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1988,"Historical",1027,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1989,"Historical",1112,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1990,"Historical",1127,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1991,"Historical",1229,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1992,"Historical",1327,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1993,"Historical",1306,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1994,"Historical",1397,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1995,"Historical",1490,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1996,"Historical",1503,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1997,"Historical",1581,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1998,"Historical",1564,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,1999,"Historical",1666,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2000,"Historical",1748,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2001,"Historical",1709,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2002,"Historical",1835,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2003,"Historical",1777,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2004,"Historical",1860,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2005,"Historical",2031,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2006,"Historical",1917,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2007,"Historical",2027,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2008,"Historical",2032,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2009,"Historical",2130,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2010,"Historical",2154,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2011,"Historical",2210,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2012,"Historical",2311,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2013,"Historical",2362,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2014,"Historical",2568,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2015,"Historical",2492,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2016,"Historical",2627,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2017,"Historical",2671,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2018,"Historical",2678,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2019,"Historical",2777,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2020,"Historical",3018,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2021,"Historical",2952,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2022,"Projected",3043.95242369706,2976.67880117142,3121.60648212879,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2023,"Projected",3143.97919520143,3078.40470798688,3221.54834902194,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2024,"Projected",3240.5792135266,3175.52850913547,3319.75918199484,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2025,"Projected",3338.8111317531,3272.22521930394,3417.54125624202,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2026,"Projected",3438.62927590551,3369.31586753164,3518.90091252121,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2027,"Projected",3536.86099358183,3464.83365810782,3620.74902311703,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2028,"Projected",3633.9691929819,3558.19661991635,3719.58987128569,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2029,"Projected",3726.50506448964,3644.89147191539,3813.81559347519,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2030,"Projected",3816.65630300592,3732.29034133082,3905.77955813377,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2031,"Projected",3902.50195042276,3814.39428993839,3997.66936800105,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2032,"Projected",3987.2974937721,3894.03439482953,4087.14427739488,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2033,"Projected",4071.27131283579,3972.33341805399,4176.25476530035,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2034,"Projected",4154.47130443407,4050.21600451161,4267.12882075365,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2035,"Projected",4237.43072353523,4127.54839854766,4357.47396704219,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2036,"Projected",4322.91413008182,4205.60005741586,4451.25883709932,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2037,"Projected",4404.46572134948,4279.35636373463,4539.77144008745,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2038,"Projected",4482.37990388307,4351.41514116448,4623.84719868778,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2039,"Projected",4554.63946994995,4416.69834814165,4703.30265209163,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2040,"Projected",4620.23459478082,4476.73050551696,4776.89590119234,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2041,"Projected",4680.80180250069,4530.14344985899,4845.67985527389,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2042,"Projected",4739.84452068169,4580.38999446009,4911.02571943547,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2043,"Projected",4795.96205325622,4629.20333293693,4974.55416969715,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2044,"Projected",4853.10174557272,4677.61101486589,5039.32366925345,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Females",,2045,"Projected",4908.66163613214,4728.02972741019,5104.90866295955,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1982,"Historical",938,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1983,"Historical",955,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1984,"Historical",1020,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1985,"Historical",1085,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1986,"Historical",1127,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1987,"Historical",1257,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1988,"Historical",1276,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1989,"Historical",1331,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1990,"Historical",1477,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1991,"Historical",1490,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1992,"Historical",1620,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1993,"Historical",1673,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1994,"Historical",1644,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1995,"Historical",1653,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1996,"Historical",1848,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1997,"Historical",1839,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1998,"Historical",1848,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,1999,"Historical",1935,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2000,"Historical",2046,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2001,"Historical",2083,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2002,"Historical",2216,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2003,"Historical",2278,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2004,"Historical",2329,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2005,"Historical",2353,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2006,"Historical",2429,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2007,"Historical",2468,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2008,"Historical",2536,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2009,"Historical",2679,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2010,"Historical",2805,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2011,"Historical",2948,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2012,"Historical",3139,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2013,"Historical",3120,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2014,"Historical",3225,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2015,"Historical",3267,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2016,"Historical",3395,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2017,"Historical",3655,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2018,"Historical",3653,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2019,"Historical",3756,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2020,"Historical",3964,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2021,"Historical",3783,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2022,"Projected",4012.02487110652,3931.43270116237,4095.4678157415,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2023,"Projected",4147.32955194106,4065.66326997556,4229.07219629364,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2024,"Projected",4277.4184310644,4195.9151159281,4358.31624755138,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2025,"Projected",4407.84806087513,4327.11577356707,4489.71894544995,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2026,"Projected",4542.17093110154,4457.94055927539,4624.14631016363,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2027,"Projected",4673.69796459584,4587.62295234498,4759.01559156588,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2028,"Projected",4801.35891338962,4713.55714378172,4891.26811551528,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2029,"Projected",4924.02496724353,4834.22877878032,5016.91161485236,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2030,"Projected",5039.72282353021,4947.66974239235,5138.80437578015,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2031,"Projected",5152.27413484706,5054.03501946887,5258.08586872516,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2032,"Projected",5263.12279505586,5160.0400323877,5373.77002109907,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2033,"Projected",5368.95877316261,5260.04040247832,5488.4408966791,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2034,"Projected",5472.66495522028,5358.16016274402,5600.98671940057,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2035,"Projected",5574.7399175572,5454.8642301618,5709.31717529711,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2036,"Projected",5680.6924456181,5553.9856806937,5823.39004798702,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2037,"Projected",5782.13247032893,5646.61591855523,5929.87723692286,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2038,"Projected",5873.83848081396,5732.24354441499,6028.56586627489,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2039,"Projected",5956.72153338255,5808.67386719693,6118.64472896442,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2040,"Projected",6030.29229286349,5876.83372890613,6200.46507704731,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2041,"Projected",6098.50084186516,5938.43721874949,6274.84261031657,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2042,"Projected",6160.40518804434,5992.95749221241,6346.07416037865,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2043,"Projected",6216.67498903196,6042.3801790037,6410.96780333099,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2044,"Projected",6273.80050471776,6092.44252908875,6475.42468127092,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Males",,2045,"Projected",6330.02826504579,6144.09186622213,6540.00118953354,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","hodgkin","Hodgkin lymphoma (HL)","Headline","Females",,1982,"Historical",126,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","hodgkin","Hodgkin lymphoma (HL)","Headline","Females",,1983,"Historical",126,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","hodgkin","Hodgkin lymphoma (HL)","Headline","Females",,1984,"Historical",139,,,"people diagnosed","output/incidence_historical_asr.csv"
