effect,value,rr,rr_p025,rr_p975,subtype,sex,tier
cohort,1970.5,1.0562604934854085,1.0165362678326988,1.099744831013896,nhl,females,agg
cohort,1971.5,1.0541487039274062,1.0125634331007805,1.100122859687422,nhl,females,agg
cohort,1972.5,1.052402462518636,1.0084933141520238,1.1003247644980583,nhl,females,agg
cohort,1973.5,1.0507429199097178,1.0047321419169124,1.1007444546968017,nhl,females,agg
cohort,1974.5,1.0489073370554185,1.0015267399985053,1.1011643052806264,nhl,females,agg
cohort,1975.5,1.0473504237361735,0.9977954054231899,1.1015843163109702,nhl,females,agg
cohort,1976.5,1.045612511552684,0.9938499015248282,1.1020044878492956,nhl,females,agg
cohort,1977.5,1.0439247919431396,0.9896924112319401,1.102410975542171,nhl,females,agg
cohort,1978.5,1.0421996996693217,0.9855622305698755,1.1028160790204642,nhl,females,agg
cohort,1979.5,1.040415797291045,0.9814977638350206,1.1027792859294165,nhl,females,agg
cohort,1980.5,1.0383972648078312,0.9777391307872807,1.1030765076400906,nhl,females,agg
cohort,1981.5,1.036631703509965,0.9739998253108454,1.103522477598903,nhl,females,agg
cohort,1982.5,1.0348976616144214,0.9701624755832686,1.1039686278802634,nhl,females,agg
