damping_pct,subtype,sex,holdout_mape,holdout_pe_2021,cases_2045,asr_2045
0,hodgkin,females,5.9468934631333195,-6.341107722119951,511.5976962819582,2.69873534850087
4,hodgkin,females,6.005270672171773,-6.053532998606654,512.6762629395328,2.681136334932577
8,hodgkin,females,6.04999730623314,-5.856504444029953,511.24151664467365,2.6725116727453777
12,hodgkin,females,6.083652768336889,-5.723541826678176,510.51015881592497,2.6673491696916027
16,hodgkin,females,6.1084598834648105,-5.6353204879854175,509.49085202356565,2.6603829030413992
20,hodgkin,females,6.126308434110357,-5.577878664951123,509.01482557989436,2.6526641820728436
0,hodgkin,males,5.148399586328777,3.1581126978490928,697.3249331075838,3.656801239958811
4,hodgkin,males,4.881920545204107,1.6787843217327787,696.4758439249113,3.6515991685496227
8,hodgkin,males,4.6780025133395915,0.6673678947651064,693.5521549315306,3.628620700847626
12,hodgkin,males,4.524358876173463,-0.014188708537735541,691.578864255058,3.609145473492097
16,hodgkin,males,4.494186967980939,-0.46596317874759274,689.3745439520376,3.5945059029792192
20,hodgkin,males,4.459707692378916,-0.75992805029389,687.5562495732381,3.5824631333426176
0,nhl,females,2.9966994226837156,-1.2523027363750563,4386.422986219064,15.89030976901637
4,nhl,females,2.331276607274253,-0.09025017524859551,4406.824170207803,15.977035193768483
8,nhl,females,2.0647309541461816,0.7084566020018382,4409.9295830568835,15.989150609771285
12,nhl,females,1.9614677207838942,1.2486329254640611,4409.467398212898,15.9949302030988
16,nhl,females,1.9108107151625178,1.6075694367244167,4409.906631282526,15.995848771776608
20,nhl,females,1.8719180860909477,1.8415035616965312,4410.560935319118,15.996413639192916
0,nhl,males,2.02649056825987,4.382870496336541,5574.627381316524,22.22089456028604
4,nhl,males,2.1365262693760583,3.965317870619398,5622.775663161885,22.45160672498332
8,nhl,males,2.2278154251309483,3.6778619193691213,5643.6841855161365,22.533593292142353
12,nhl,males,2.303197406781085,3.4832380116584245,5653.4665203390105,22.57974031626224
16,nhl,males,2.3652518088810512,3.353818934737053,5659.560643043356,22.614386611966673
20,nhl,males,2.416273154297298,3.2694300576174893,5662.944871393278,22.634778584077154
