P,cases_mid,cases_p025,cases_p975,asr_mid,asr_p025,asr_p975,subtype,sex,tier,cases_2021,asr_2021,pct_change_cases,pct_change_asr
2030,4510.976239906908,4418.955640884537,4602.403334539368,23.70068659073265,23.217453352887038,24.211049100721773,nhl,males,agg,3365,22.612389042473563,34.055757500948225,4.812837538815138
2040,5385.118551423081,5242.454831878082,5547.23425699894,23.077969464987742,22.429441745045867,23.81761464659944,nhl,males,agg,3365,22.612389042473563,60.03324075551504,2.0589616676047138
2045,5635.004556956132,5461.08218911718,5832.302487730117,22.510515828853777,21.763017272110595,23.397548796578302,nhl,males,agg,3365,22.612389042473563,67.4592736093947,-0.45051946270884746
2030,3400.3134309756615,3315.3793489040318,3486.7944331898625,16.150342621676806,15.72442844296657,16.591870608913563,nhl,females,agg,2590,15.684890980089069,31.286232856203146,2.9675159500859616
2040,4136.103981115039,3992.426483745805,4285.6655321309645,16.060598109391165,15.454944092804379,16.713637331939307,nhl,females,agg,2590,15.684890980089069,59.69513440598604,2.395344218707237
2045,4393.34616743123,4215.581891212575,4586.1402240594525,15.931097315865781,15.217092969966204,16.75072905491647,nhl,females,agg,2590,15.684890980089069,69.62726515178495,1.5697038384854238
2030,528.1078347234295,500.2689284920355,559.0644949167046,3.4019200931465234,3.219165232264427,3.600920183506062,hodgkin,males,agg,418,3.17407342526307,26.34158725440897,7.17836790006108
2040,643.1222367302441,598.6183624113868,690.5993325654673,3.5798540526453957,3.3374326950940763,3.8370868045609194,hodgkin,males,agg,418,3.17407342526307,53.85699443307276,12.784223079171339
2045,694.2279632582936,642.0459553438411,748.8945405146226,3.634167105042464,3.3688033579872583,3.9148218270795665,hodgkin,males,agg,418,3.17407342526307,66.08324479863484,14.495369770510624
2030,417.06185144340293,389.95702949176695,443.9294235509788,2.685342455387765,2.5112077473662526,2.8653047272500074,hodgkin,females,agg,362,2.7340114750414033,15.210456199835063,-1.7801322378466278
2040,485.126086430623,447.7253555453294,524.8807350673197,2.690422472908928,2.4933168279915945,2.927251114612994,hodgkin,females,agg,362,2.7340114750414033,34.01273105818315,-1.5943240374225316
2045,514.4038328806269,471.07788412030936,559.8496340288698,2.678875176831888,2.467263677980835,2.9361807298859737,hodgkin,females,agg,362,2.7340114750414033,42.10050632061515,-2.0166813019203
2030,1532.3957243396999,1457.880399755581,1618.6931163284166,7.934191354821658,7.542506511588142,8.39207326168992,dlbcl,males,subtype,1202,8.070125088321275,27.487165086497495,-1.6844067720379496
2040,1748.4019174349462,1622.7645126441776,1908.1108333377358,7.328182647827479,6.751294035720096,7.999077447871623,dlbcl,males,subtype,1202,8.070125088321275,45.45773023585243,-9.193691948684934
2045,1793.2955947458609,1633.9589222593281,1979.744210446296,6.966340618986289,6.305503495153001,7.7665879741086234,dlbcl,males,subtype,1202,8.070125088321275,49.19264515356579,-13.677414628087162
2030,1125.9772075610056,1059.614420624409,1197.8200827762496,5.272375753077807,4.933751683584213,5.63771077517293,dlbcl,females,subtype,944,5.638677177888751,19.277246563665845,-6.496229758414654
2040,1311.133286202797,1192.808099500474,1445.686389576707,5.0401916895650505,4.538049394848542,5.651638582631763,dlbcl,females,subtype,944,5.638677177888751,38.89123794521156,-10.613934251646363
2045,1381.0719343452433,1231.1347786703743,1563.742410453213,4.974313720337697,4.365197426893964,5.7072428659369,dlbcl,females,subtype,944,5.638677177888751,46.29999304504696,-11.782257373347402
2030,952.7182646984686,894.3756198863715,1017.9344652503544,5.07418136310589,4.758345396318942,5.433792207160186,follicular,males,subtype,756,5.108766510832072,26.020934483924417,-0.6769764805819896
2040,1022.4010081954651,935.5278109461664,1125.28658280429,4.479304889254173,4.058947168383037,4.958268378025149,follicular,males,subtype,756,5.108766510832072,35.238228597283744,-12.321205524724151
