tier,subtype,sex,n_a,n_p,n_c,tot_knots,cases_mape,pe_2021,n_coef,dev_df_full,aic_full
agg,nhl,males,4,4,4,12,2.821981492070826,2.80997547277878,9,2.599229916352414,2708.1784486326364
agg,nhl,females,4,4,4,12,1.9497342850613522,0.9447690855023285,9,1.9795757538949919,2433.6126340902006
agg,hodgkin,males,4,4,4,12,4.896305274935543,2.7793702239997695,9,2.527546191159988,2173.7514908655708
agg,hodgkin,females,4,4,4,12,8.408533053955313,3.0414266509069265,9,2.9455566555504427,2224.995719847408
subtype,dlbcl,males,4,4,4,12,2.156342342000788,2.00479519253058,9,2.0458017997708033,1335.6694566248595
subtype,dlbcl,females,4,4,4,12,5.834813293635112,4.211500910237355,8,1.9524278476740768,1260.0123195825215
subtype,follicular,males,4,4,4,12,4.622898158455217,-0.2563448300104026,9,1.6978677869416832,1153.4569496352954
subtype,follicular,females,4,4,4,12,8.385153169100503,-4.24940970075401,9,2.098362427506327,1167.9767762575916
subtype,mantle_cell,males,4,4,4,12,11.360026505136224,45.60298956894697,8,1.1433589878149462,765.2737377690996
subtype,mantle_cell,females,4,4,4,12,19.517691301956464,47.152051806389615,9,0.9351420189914174,603.2317088745145
agg,nhl,males,5,4,4,13,2.821981492070826,2.80997547277878,9,2.492499066570321,2678.4005415434353
agg,nhl,females,5,4,4,13,1.945500240168672,1.046796135211536,10,1.2411226696057962,2228.3431009039086
agg,hodgkin,males,5,4,4,13,5.0217792023441845,3.350702601160121,10,2.020200455035011,2032.1818300316668
agg,hodgkin,females,5,4,4,13,7.0391391445053175,0.18071723593738476,9,3.567485187295325,2398.513780204233
subtype,dlbcl,males,5,4,4,13,2.154382156543981,1.8809423181345781,9,2.0458017997708033,1335.6694566248595
subtype,dlbcl,females,5,4,4,13,8.588107679181144,9.41632068206056,10,1.173123206415885,1134.6394166446046
subtype,follicular,males,5,4,4,13,4.808848048614471,-0.6979402413173048,9,1.6978677869416832,1153.4569496352954
subtype,follicular,females,5,4,4,13,8.624260192267103,-3.9033244327176817,9,2.098362427506327,1167.9767762575916
subtype,mantle_cell,males,5,4,4,13,12.795199346487381,50.71129865762525,9,0.9358857470901026,732.51971378386
subtype,mantle_cell,females,5,4,4,13,21.25697393995598,52.863244401350244,9,0.9351420189914174,603.2317088745145
agg,nhl,males,6,4,4,14,2.8375840885339763,2.725159747859649,9,2.492499066570321,2678.4005415434353
agg,nhl,females,6,4,4,14,1.9728408024056687,1.4433169910281185,10,1.260704696553169,2233.78690439528
agg,hodgkin,males,6,4,4,14,5.02953978708655,3.404241358324033,10,2.125485497189389,2061.4510717505827
agg,hodgkin,females,6,4,4,14,8.229594401268296,2.5022213883401427,10,2.605147133116524,2129.416315955229
subtype,dlbcl,males,6,4,4,14,2.154382156543981,1.8809423181345781,9,2.0525913154050492,1336.769358157608
subtype,dlbcl,females,6,4,4,14,8.673909423607519,9.495977183474492,10,1.173123206415885,1134.6394166446046
subtype,follicular,males,6,4,4,14,4.808848048614471,-0.6979402413173048,10,1.3146839598213345,1092.0664856819783
subtype,follicular,females,6,4,4,14,8.872129625240468,-4.549389894862183,9,2.098362427506327,1167.9767762575916
subtype,mantle_cell,males,6,4,4,14,12.795199346487381,50.71129865762525,9,0.9358857470901026,732.51971378386
