subtype,sex,deviance,df_resid,dev_df_ratio
nhl,males,686.3255787682126,277,2.48
nhl,females,332.6362393959881,276,1.21
hodgkin,males,556.802727400106,276,2.02
hodgkin,females,940.7173840610997,277,3.4
dlbcl,males,312.2654297586762,160,1.95
dlbcl,females,313.7354640490538,161,1.95
follicular,males,239.6492217686651,160,1.5
follicular,females,296.2220002019546,160,1.85
mantle_cell,males,143.30544516807674,161,0.89
mantle_cell,females,140.36816150275573,160,0.88
