start_year,n_years,subtype,sex,holdout_mape,holdout_pe_2021,cases_2045,growth_pct,dev_df
1982,30,hodgkin,females,5.813348269620463,-6.452874814770563,533.5863571433858,47.39954617220603,4.225051451821655
1985,27,hodgkin,females,5.988934204659648,-5.654908979766449,531.7287439084369,46.886393344872054,4.183982608056297
1990,22,hodgkin,females,6.04999730623314,-5.856504444029953,511.24151664467365,41.2269382996336,3.895275378742897
1995,17,hodgkin,females,7.3517919326264485,-2.372707155356611,518.4012970118911,43.2047781800804,3.020733959975673
2000,12,hodgkin,females,8.248377885642823,-1.729970555864645,479.5458110640763,32.47121852598793,3.0978485376749925
2003,9,hodgkin,females,7.112860318244641,-5.0147716698520295,455.15790006897953,25.734226538392136,3.1799575019477815
1982,30,hodgkin,males,5.320063070891124,-5.879438708351244,637.4807513351695,52.507356778748694,2.2909906400217537
1985,27,hodgkin,males,4.585844893837201,-2.627792629047739,668.7058857203294,59.97748462208838,2.2370215155976396
1990,22,hodgkin,males,4.6780025133395915,0.6673678947651064,693.5521549315306,65.92156816543793,2.3269406600665805
1995,17,hodgkin,males,5.198222724424543,3.648844080881503,704.8585956423252,68.62645828763762,2.4885198928677665
2000,12,hodgkin,males,5.653769066916867,5.7257811046712135,695.4193183798122,66.368257985601,2.6396692448785855
2003,9,hodgkin,males,8.371206485133106,11.58232207885997,685.0693803586246,63.89219625804415,2.807970827464508
1982,30,nhl,females,4.641270514913276,10.505058038935804,4960.80874000172,91.53701698848342,1.7762664467299294
1985,27,nhl,females,3.1469099486839993,7.342006272496902,4736.727327050438,82.8852249826424,1.7896741050359788
1990,22,nhl,females,2.0647309541461816,0.7084566020018382,4409.9295830568835,70.26755146937774,1.1246178552455575
1995,17,nhl,females,4.901267881725642,-4.767425986166706,4219.08880365713,62.89918160838338,1.197202458960412
2000,12,nhl,females,5.583646230331084,-5.629807435467284,4220.878141684958,62.96826801872424,1.1675704224075407
2003,9,nhl,females,4.371649847640098,-2.8206993333363255,4351.099023626435,67.99610129831795,1.1347952627021487
1982,30,nhl,males,5.167491654078039,15.687259953394477,6594.710631153286,95.9795135558183,2.2250786889065606
1985,27,nhl,males,3.0024312183673545,10.946716381441286,6182.171217071127,83.71979842707658,2.2034037135812428
1990,22,nhl,males,2.2278154251309483,3.6778619193691213,5643.6841855161365,67.71721205099959,2.075265220889627
1995,17,nhl,males,1.864830149614976,4.239654832245586,5715.855323478401,69.86197098004165,2.1738696108599678
2000,12,nhl,males,2.529008113479071,1.7029262897928985,5685.706741549293,68.96602500889429,2.297327583373544
2003,9,nhl,males,2.4330790226665147,2.204737230116907,5831.53078901807,73.29957768255781,2.626674326176081
