year,duration,base,conservative,optimistic,cons_vs_base_pct,opt_vs_base_pct
2021,2,12244.592286443518,12244.592286443518,12244.592286443518,0,0
2030,2,16028.673807764388,15436.706139480444,16028.673807764388,-3.6931793321365793,0
2040,2,19259.8682491093,18302.73633301664,19720.15133588291,-4.969566269680592,2.3898558433539567
2045,2,20268.83649473647,19227.959798850865,20766.867952127628,-5.135354938384882,2.4571289897201947
2021,3,17475.456038018627,17475.456038018627,17475.456038018627,0,0
2030,3,23078.662976721826,22121.55340693895,23078.662976721826,-4.147162124375484,0
2040,3,27863.883350893066,26222.20665043906,28662.5672496489,-5.891772800582686,2.866376838784155
2045,3,29335.960843184264,27559.266236500807,30201.61725727165,-6.056370937297059,2.950837092791206
2021,5,26778.167035938342,26778.167035938342,26778.167035938342,0,0
2030,5,35596.50469963123,34052.07193829362,35596.50469963123,-4.338720260232764,0
2040,5,43475.90835467816,40423.1738420957,44942.16766546552,-7.021669306315896,3.3725788977784052
2045,5,45859.4397845527,42562.54649713958,47468.14522052577,-7.189126825146361,3.50790468337763
2021,10,44744.00652969131,44744.00652969131,44744.00652969131,0,0
2030,10,59699.90564763288,57597.311853183,59699.90564763288,-3.521938220237788,0
2040,10,75742.2164332751,69010.18464124929,77924.25082891437,-8.8880839629988575,2.880869478597227
2045,10,80261.96684989275,72907.98957625701,83851.10991355791,-9.162468305055706,4.471785584793403
2021,40,79310.97880636042,79310.97880636042,79310.97880636042,0,0
2030,40,110934.98052630357,108804.3328398218,110934.98052630357,-1.9206274489556279,0
2040,40,151404.09543137392,141501.2544681711,153582.83393254678,-6.540669150981734,1.4390221710748945
2045,40,170340.41866373777,155528.64706085465,174741.20679196276,-8.695394621591515,2.5835254854647314
