sex,age_group,years_since_dx,subtype,annual_rate,source
males,35–44,1,hodgkin,-6.000000000000005e-4,age-specific
males,35–44,2,hodgkin,-1.0000000000000009e-4,age-specific
males,35–44,3,hodgkin,3.0000000000000024e-4,age-specific
males,35–44,4,hodgkin,3.0000000000000024e-4,age-specific
males,35–44,5,hodgkin,8.000000000000007e-4,age-specific
males,35–44,1,nhl,0.002200000000000002,age-specific
males,35–44,2,nhl,0.0038000000000000035,age-specific
males,35–44,3,nhl,0.0050000000000000044,age-specific
males,35–44,4,nhl,0.005200000000000005,age-specific
males,35–44,5,nhl,0.005600000000000005,age-specific
males,45–54,1,dlbcl,0.0050000000000000044,age-specific
males,45–54,2,dlbcl,0.007299999999999996,age-specific
males,45–54,3,dlbcl,0.0064999999999999945,age-specific
males,45–54,4,dlbcl,0.007399999999999995,age-specific
males,45–54,5,dlbcl,0.008299999999999997,age-specific
males,45–54,1,follicular,7.999999999999785e-4,age-specific
males,45–54,2,follicular,0.0025000000000000022,age-specific
males,45–54,3,follicular,0.003500000000000003,age-specific
males,45–54,4,follicular,0.004199999999999993,age-specific
males,45–54,5,follicular,0.0032999999999999917,age-specific
males,45–54,1,mantle_cell,0.001000000000000023,age-specific
males,45–54,2,mantle_cell,0.0020999999999999908,age-specific
males,45–54,3,mantle_cell,-6.000000000000005e-4,age-specific
males,45–54,4,mantle_cell,6.000000000000005e-4,age-specific
males,45–54,5,mantle_cell,0.0038000000000000035,age-specific
males,45–54,1,hodgkin,8.000000000000007e-4,age-specific
males,45–54,2,hodgkin,0.0015999999999999903,age-specific
males,45–54,3,hodgkin,0.001100000000000001,age-specific
males,45–54,4,hodgkin,0.0027000000000000023,age-specific
males,45–54,5,hodgkin,0.0029000000000000024,age-specific
males,45–54,1,nhl,0.002299999999999991,age-specific
males,45–54,2,nhl,0.003500000000000003,age-specific
males,45–54,3,nhl,0.003400000000000003,age-specific
males,45–54,4,nhl,0.004400000000000004,age-specific
males,45–54,5,nhl,0.0050000000000000044,age-specific
males,55–64,1,dlbcl,0.0026000000000000025,age-specific
males,55–64,2,dlbcl,0.003799999999999992,age-specific
males,55–64,3,dlbcl,0.004100000000000004,age-specific
males,55–64,4,dlbcl,0.004800000000000004,age-specific
males,55–64,5,dlbcl,0.005600000000000005,age-specific
males,55–64,1,follicular,4.0000000000002257e-4,age-specific
males,55–64,2,follicular,0.002200000000000002,age-specific
males,55–64,3,follicular,0.002100000000000002,age-specific
males,55–64,4,follicular,0.0028000000000000026,age-specific
males,55–64,5,follicular,0.0036000000000000034,age-specific
males,55–64,1,mantle_cell,7.999999999999896e-4,age-specific
males,55–64,2,mantle_cell,0.005700000000000005,age-specific
males,55–64,3,mantle_cell,0.009299999999999998,age-specific
males,55–64,4,mantle_cell,0.014500000000000002,age-specific
males,55–64,5,mantle_cell,0.017900000000000006,age-specific
males,55–64,1,hodgkin,0.002499999999999991,age-specific
males,55–64,2,hodgkin,0.005900000000000005,age-specific
males,55–64,3,hodgkin,0.0040000000000000036,age-specific
males,55–64,4,hodgkin,0.004400000000000004,age-specific
males,55–64,5,hodgkin,0.0026000000000000025,age-specific
males,55–64,1,nhl,0.0019000000000000017,age-specific
males,55–64,2,nhl,0.003700000000000003,age-specific
males,55–64,3,nhl,0.004199999999999993,age-specific
males,55–64,4,nhl,0.0047999999999999935,age-specific
males,55–64,5,nhl,0.006100000000000006,age-specific
males,65–74,1,dlbcl,0.0036999999999999924,age-specific
males,65–74,2,dlbcl,0.004100000000000004,age-specific
males,65–74,3,dlbcl,0.005099999999999993,age-specific
males,65–74,4,dlbcl,0.004900000000000004,age-specific
males,65–74,5,dlbcl,0.005200000000000005,age-specific
males,65–74,1,follicular,0.001200000000000001,age-specific
males,65–74,2,follicular,0.001100000000000001,age-specific
males,65–74,3,follicular,0.0026000000000000025,age-specific
males,65–74,4,follicular,0.002200000000000002,age-specific
males,65–74,5,follicular,0.004299999999999993,age-specific
males,65–74,1,mantle_cell,4.0000000000000034e-4,age-specific
males,65–74,2,mantle_cell,0.004200000000000004,age-specific
males,65–74,3,mantle_cell,0.007699999999999996,age-specific
males,65–74,4,mantle_cell,0.01050000000000001,age-specific
males,65–74,5,mantle_cell,0.013900000000000001,age-specific
males,65–74,1,hodgkin,0.0036999999999999924,age-specific
males,65–74,2,hodgkin,0.001100000000000001,age-specific
males,65–74,3,hodgkin,0.0013000000000000012,age-specific
males,65–74,4,hodgkin,0.001200000000000001,age-specific
males,65–74,5,hodgkin,0.0030000000000000027,age-specific
males,65–74,1,nhl,0.004100000000000004,age-specific
males,65–74,2,nhl,0.005199999999999994,age-specific
males,65–74,3,nhl,0.006200000000000006,age-specific
males,65–74,4,nhl,0.006699999999999995,age-specific
