subtype,sex,duration,prev_2021,prev_2021_p025,prev_2021_p975,prev_2045,prev_2045_p025,prev_2045_p975,pct_change,pct_change_p025,pct_change_p975
dlbcl,females,2,1539,1519,1560,2315,2042,2628,50.3,33.6,70.2
dlbcl,males,2,2032,2010,2056,2933,2649,3305,44.1,30.8,61.8
follicular,females,2,1263,1256,1269,1336,1181,1503,5.7,-6.4,18.8
follicular,males,2,1543,1535,1551,1982,1766,2239,28.5,14.7,45.1
hodgkin,females,2,656,648,663,945,862,1036,44.3,32.1,57.2
hodgkin,males,2,801,791,809,1262,1158,1372,57.6,45.3,70.5
mantle_cell,females,2,141,135,146,353,224,566,147.6,58.1,294.3
mantle_cell,males,2,387,378,394,683,521,907,76.3,35.9,132.5
nhl,females,2,4702,4670,4731,8049,7687,8463,71.1,63.5,79.5
nhl,males,2,6088,6051,6122,10011,9650,10411,64.4,58.9,70.9
total,females,2,5357,5326,5387,8998,8616,9398,67.9,61.2,75.1
total,males,2,6888,6850,6924,11269,10880,11709,63.7,58.3,69.6
dlbcl,females,3,2165,2143,2189,3317,2953,3756,53.1,36.6,73.7
dlbcl,males,3,2845,2820,2871,4187,3807,4707,47.2,34,65.2
follicular,females,3,1805,1796,1814,1975,1758,2225,9.4,-2.4,23.1
follicular,males,3,2248,2237,2258,2928,2620,3303,30.2,16.7,46.7
hodgkin,females,3,952,943,960,1387,1263,1514,45.7,33.2,58.8
hodgkin,males,3,1151,1141,1160,1839,1695,1986,59.7,47.4,72.1
mantle_cell,females,3,194,187,200,505,323,796,159.2,65.5,310.6
mantle_cell,males,3,574,564,583,989,758,1308,72,33.3,126.6
nhl,females,3,6657,6625,6691,11707,11193,12258,75.8,68.4,83.9
nhl,males,3,8715,8678,8756,14413,13900,14958,65.4,59.6,71.4
total,females,3,7609,7575,7642,13087,12566,13648,72,65.3,79
total,males,3,9867,9828,9907,16246,15726,16823,64.7,59.4,70.4
dlbcl,females,10,5322,5221,5422,8866,7926,10053,66.7,48,88.7
dlbcl,males,10,7050,6929,7178,10819,9805,12172,53.7,39,73
follicular,females,10,5014,4950,5073,6343,5665,7109,26.4,12.9,41.5
follicular,males,10,5852,5780,5927,8506,7599,9596,45.3,29.5,63.9
hodgkin,females,10,2717,2674,2756,4194,3826,4583,54.4,40.7,69.1
hodgkin,males,10,3274,3221,3322,5407,4992,5851,65.3,52.6,78.8
mantle_cell,females,10,492,461,523,1348,904,2069,175.2,83,328
mantle_cell,males,10,1195,1153,1240,2652,2035,3386,122.2,69.6,184
nhl,females,10,17090,16916,17243,32475,31002,34110,90,81.6,99.5
nhl,males,10,21666,21459,21875,38208,36793,39757,76.4,69.8,84
total,females,10,19803,19631,19969,36649,35225,38291,85.1,77.3,93.6
total,males,10,24942,24717,25152,43592,42119,45266,74.9,68.8,81.8
