P,cases_mid,cases_p025,cases_p975,asr_mid,asr_p025,asr_p975,subtype,sex,tier
2041,5452.606151229878,5305.255813384751,5623.157433576943,23.048599314604083,22.391393711436795,23.81981529027758,nhl,males,agg
2042,5505.680023775922,5353.528310069134,5685.50825242594,22.95721986700856,22.278442718820415,23.751907150527327,nhl,males,agg
2043,5555.489962253047,5395.798093878602,5741.297560161797,22.86005159339974,22.166165829061505,23.683869375736798,nhl,males,agg
2044,5605.594818275784,5438.207640369229,5800.770608651017,22.75961500334749,22.04113509859184,23.601646816102818,nhl,males,agg
2045,5654.501960919255,5479.231534805374,5859.530049390014,22.648960321319002,21.914147166702644,23.51296714494158,nhl,males,agg
2022,2699.4100254187883,2631.976820834997,2769.268344749354,15.990588154435235,15.585903518667035,16.395403705951654,nhl,females,agg
2023,2788.810914401465,2720.5071867296942,2857.8633962343183,16.026529547699777,15.632301144281737,16.42799752268069,nhl,females,agg
2024,2876.346473374484,2807.722883035861,2944.7073511093517,16.056738675255154,15.659890002242284,16.457284014152435,nhl,females,agg
2025,2964.46668926263,2894.3920539334026,3035.34532560986,16.088101244483827,15.699907160094764,16.48868210140563,nhl,females,agg
2026,3057.1759032713708,2984.855934780658,3129.5705475121026,16.11255598642933,15.713238550204261,16.51271488274605,nhl,females,agg
2027,3146.6493293521667,3071.8394602259414,3223.6626562489887,16.13313089821243,15.733598170031438,16.53231296111398,nhl,females,agg
2028,3234.8843917399563,3156.93268368934,3313.8238361219514,16.15635481186368,15.739580407052172,16.56243737389594,nhl,females,agg
2029,3320.2108922220477,3237.507186828411,3402.3807554835685,16.168903205196294,15.737514933263814,16.592137024976704,nhl,females,agg
2030,3401.673968897053,3316.8431071214986,3488.0527188236156,16.18179369810585,15.731762311669788,16.62720842924427,nhl,females,agg
2031,3480.8097073550775,3391.2400015790317,3572.931707423325,16.191018848215577,15.735559857403334,16.648139326533958,nhl,females,agg
2032,3558.500048600037,3463.068771415782,3656.244036712879,16.189991966777363,15.727539797402773,16.657935528710162,nhl,females,agg
2033,3636.0583196434036,3534.993128903458,3738.025368825801,16.19023519787386,15.713995462010628,16.670144955396584,nhl,females,agg
2034,3713.8525918295945,3608.700560700799,3822.1261589098854,16.1923712519336,15.69674554231246,16.690441689306883,nhl,females,agg
2035,3790.85030811857,3679.9922265046357,3905.921187702376,16.18706195636934,15.676629286592934,16.70539542896927,nhl,females,agg
2036,3870.6302831448943,3754.790316548796,3991.2138319449264,16.180059739371096,15.644905577828682,16.724944852361038,nhl,females,agg
2037,3946.331289411548,3825.3237124952507,4074.4717068090727,16.167304494174957,15.62091711927804,16.73583738118541,nhl,females,agg
2038,4018.484595991403,3888.7348128626745,4155.81233362194,16.153839271204657,15.59333856530805,16.743881060947817,nhl,females,agg
2039,4084.8775651741507,3949.477410742306,4229.3467499755925,16.140773924794914,15.558113416375818,16.751519359633477,nhl,females,agg
2040,4146.324508720754,4003.947936057488,4298.842138755713,16.123078113370767,15.51110600006817,16.763527089455355,nhl,females,agg
2041,4202.542119731575,4053.009519035062,4364.392148589282,16.10646468847966,15.465867366713585,16.772481901760454,nhl,females,agg
2042,4255.318670530478,4098.3561838870555,4425.728109753828,16.09193368827981,15.417301110248554,16.771911602749718,nhl,females,agg
2043,4306.65048021301,4143.739902357484,4484.319392358596,16.076400826990024,15.371613025094593,16.776130809022973,nhl,females,agg
2044,4359.13601812329,4189.6849730461445,4543.924964324561,16.056498501622634,15.322891104403336,16.78529275566576,nhl,females,agg
2045,4411.2138984648045,4233.773443700162,4606.466268218908,16.036603350954692,15.27354162123865,16.790156609517386,nhl,females,agg
2022,428.9618087463481,402.9207207373971,455.77650379196615,3.2015712229454527,3.0114241062368126,3.402866641555094,hodgkin,males,agg
2023,442.8920735710518,416.9762317988808,469.1365122599651,3.233124385802921,3.0482241090053894,3.422652201527098,hodgkin,males,agg
